ticker,close,STS,MTS,LTS,BUY_CANDIDATE,SELL_SIGNAL
000660.KS,415000.0,74.5,93.48,97.57,False,False
005930.KS,93300.0,73.99,94.42,99.07,False,False
035420.KS,262500.0,67.84,80.18,92.29,False,False
068270.KS,170900.0,23.36,30.59,72.94,False,True
051910.KS,282000.0,18.98,55.0,62.73,False,True
