ticker,close,STS,MTS,LTS,BUY_CANDIDATE,SELL_SIGNAL
000660.KS,411500.0,73.63,93.07,96.92,False,False
005930.KS,91600.0,72.61,93.52,97.63,False,False
035420.KS,258000.0,64.76,79.41,91.05,False,False
051910.KS,296500.0,56.15,81.22,85.95,False,False
068270.KS,169700.0,11.42,26.05,73.68,False,True
