ticker,name,close,STS,MTS,LTS,BUY_CANDIDATE,SELL_SIGNAL
051910.KS,,309000.0,87.04,78.38,85.66,False,False
000660.KS,,453000.0,80.0,95.0,95.82,False,False
005930.KS,,97400.0,79.44,95.0,95.9,False,False
035420.KS,,260750.0,70.55,85.86,91.81,False,False
068270.KS,,174900.0,40.29,57.48,95.96,False,False
