Symbol|Security Name|ETF|Test Issue
BRK-B|Berkshire Hathaway Inc. Class B|N|N
JPM|JPMorgan Chase & Co.|N|N
V|Visa Inc. Class A|N|N
PG|Procter & Gamble Company|N|N
JNJ|Johnson & Johnson|N|N
XOM|Exxon Mobil Corporation|N|N
KO|Coca-Cola Company|N|N
DIS|Walt Disney Company|N|N
HD|Home Depot Inc.|N|N
BAC|Bank of America Corporation|N|N
