Symbol|Security Name|ETF|Test Issue
AAPL|Apple Inc.|N|N
MSFT|Microsoft Corporation|N|N
GOOGL|Alphabet Inc. Class A|N|N
AMZN|Amazon.com Inc.|N|N
NVDA|NVIDIA Corporation|N|N
META|Meta Platforms Inc. Class A|N|N
PEP|PepsiCo Inc.|N|N
AVGO|Broadcom Inc.|N|N
COST|Costco Wholesale Corporation|N|N
NFLX|Netflix Inc.|N|N
