ticker,close,STS,MTS,LTS,BUY_CANDIDATE,SELL_SIGNAL
AMD,218.825,77.88,91.45,94.32,False,False
NVDA,188.251,69.99,83.88,98.21,False,False
AAPL,248.934,31.94,83.22,97.16,False,False
MSFT,512.85,30.21,52.95,76.72,False,True
TSLA,426.935,22.37,79.49,91.18,False,False
