ticker,close,STS,MTS,LTS,BUY_CANDIDATE,SELL_SIGNAL
AMD,216.42,77.22,90.94,93.5,False,False
NVDA,188.32,70.06,93.9,98.23,False,False
TSLA,435.9,41.36,80.42,92.67,False,False
MSFT,514.05,31.44,68.06,76.9,False,True
AAPL,247.66,30.48,82.98,96.76,False,False
