ticker,close,STS,MTS,LTS,BUY_CANDIDATE,SELL_SIGNAL
AMD,218.09,77.17,91.29,94.07,False,False
MSFT,513.57,25.75,68.02,76.83,False,True
NVDA,180.03,24.58,81.74,94.79,False,False
AAPL,247.77,20.07,93.0,96.8,False,False
TSLA,429.24,17.86,79.73,91.56,False,False
